'head' : '{Count:1b,id:"minecraft:iron_helmet",tag:{Damage:0}}',
'chest' : '{Count:1b,id:"minecraft:chainmail_chestplate",tag:{Damage:0}}',
'legs' : '{Count:1b,id:"minecraft:chainmail_leggings",tag:{Damage:0}}',
'feet' : '{Count:1b,id:"minecraft:chainmail_boots",tag:{Damage:0}}',
'offhand' : '{Count:1b,id:"new_shield_variants:iron_shield",tag:{Damage:0}}',
0 : '{Count:1b,id:"minecraft:iron_sword",tag:{Damage:0}}',
1 : '{Count:1b,id:"minecraft:bow",tag:{Damage:0}}',
2 : '{Count:1b,id:"minecraft:iron_axe",tag:{Damage:0}}',
3 : '{Count:1b,id:"minecraft:iron_pickaxe",tag:{Damage:0}}',
4 : '{Count:1b,id:"minecraft:stone_shovel",tag:{Damage:0}}',
5 : '{Count:16b,id:"minecraft:torch"}',
6 : '{Count:1b,id:"minecraft:golden_apple"}',
7 : '',
8 : '{Count:1b,id:"thermal:satchel",tag:{ItemInv:{ItemInv:[{Count:1b,Slot:0b,id:"minecraft:compass"},{Count:1b,Slot:1b,id:"delightful:steel_knife",tag:{Damage:0}},{Count:1b,Slot:2b,id:"minecraft:bucket"},{Count:1b,Slot:3b,id:"lightmanscurrency:wallet_leather",tag:{Items:[{Count:1b,Slot:0b,id:"lightmanscurrency:coin_emerald"},{Count:28b,Slot:1b,id:"lightmanscurrency:coin_gold"},{Count:4b,Slot:2b,id:"lightmanscurrency:coin_copper"}]}}]}}}',
9 : '',
10 : '',
11 : '',
12 : '',
13 : '',
14 : '',
15 : '',
16 : '',
17 : '',
18 : '',
19 : '',
20 : '',
21 : '',
22 : '',
23 : '',
24 : '',
25 : '{Count:15b,id:"farmersdelight:cooked_bacon"}',
26 : '{Count:14b,id:"minecraft:bread"}',
27 : '',
28 : '{Count:64b,id:"minecraft:arrow"}',
29 : '',
30 : '',
31 : '',
32 : '',
33 : '{Count:1b,id:"comforts:sleeping_bag_brown"}',
34 : '{Count:3b,id:"minecraft:apple"}',
35 : '{Count:1b,ForgeCaps:{Parent:{Items:[],Size:5}},id:"solonion:lunchbag"}',
'effects' : '',
