'head' : '{components:{"minecraft:custom_name":"Wizards Helm","minecraft:enchantments":{"minecraft:mending":1,"minecraft:protection":4,"minecraft:unbreaking":3},"minecraft:repair_cost":7},count:1,id:"aquaculture:neptunium_helmet"}',
'chest' : '{components:{"minecraft:custom_name":"Wizards Tunic","minecraft:dyed_color":8900045,"minecraft:enchantments":{"minecraft:blast_protection":4,"minecraft:mending":1,"minecraft:thorns":3,"minecraft:unbreaking":3,"nova_structures:wither_coated":3},"minecraft:repair_cost":31},count:1,id:"minecraft:leather_chestplate"}',
'legs' : '{components:{"minecraft:custom_name":"Wizard Pants","minecraft:dyed_color":8900045,"minecraft:enchantments":{"minecraft:mending":1,"minecraft:projectile_protection":4,"minecraft:unbreaking":3},"minecraft:repair_cost":7},count:1,id:"minecraft:leather_leggings"}',
'feet' : '{components:{"minecraft:custom_name":"Wizard Boots","minecraft:dyed_color":12246236,"minecraft:enchantments":{"minecraft:feather_falling":4,"minecraft:fire_protection":4,"minecraft:mending":1,"minecraft:unbreaking":3},"minecraft:repair_cost":15},count:1,id:"minecraft:leather_boots"}',
'offhand' : '{components:{"minecraft:custom_name":"Glamdring","minecraft:enchantments":{"minecraft:flame":1,"minecraft:knockback":2,"minecraft:mending":1,"minecraft:smite":5,"minecraft:sweeping_edge":3,"minecraft:unbreaking":3},"minecraft:repair_cost":63},count:1,id:"advancednetherite:netherite_iron_sword"}',
0 : '{components:{"minecraft:custom_name":"Wizard Staff","minecraft:enchantments":{"minecraft:knockback":2,"minecraft:lunge":3,"minecraft:mending":1,"minecraft:unbreaking":3},"minecraft:repair_cost":15},count:1,id:"minecraft:wooden_spear"}',
1 : '',
2 : '',
3 : '',
4 : '',
5 : '{count:1,id:"easy_mob_farm:void_binding_chain"}',
6 : '{count:1,id:"easy_mob_farm:mystic_binding_crystal"}',
7 : '{components:{"minecraft:bundle_contents":[{count:64,id:"minecraft:enchanted_golden_apple"}]},count:1,id:"minecraft:red_bundle"}',
8 : '{components:{"minecraft:bundle_contents":[{count:32,id:"minecraft:golden_apple"},{count:32,id:"minecraft:golden_carrot"}]},count:1,id:"minecraft:yellow_bundle"}',
9 : '',
10 : '',
11 : '',
12 : '',
13 : '',
14 : '',
15 : '{components:{"minecraft:potion_contents":{potion:"minecraft:healing"}},count:1,id:"minecraft:splash_potion"}',
16 : '{count:1,id:"minecraft:brewing_stand"}',
17 : '{components:{"minecraft:potion_contents":{potion:"minecraft:healing"}},count:1,id:"minecraft:splash_potion"}',
18 : '',
19 : '',
20 : '',
21 : '',
22 : '',
23 : '',
24 : '{components:{"minecraft:potion_contents":{potion:"minecraft:strong_healing"}},count:1,id:"minecraft:lingering_potion"}',
25 : '{components:{"minecraft:bundle_contents":[{count:64,id:"minecraft:nether_wart"}]},count:1,id:"minecraft:bundle"}',
26 : '{components:{"minecraft:potion_contents":{potion:"minecraft:strong_healing"}},count:1,id:"minecraft:lingering_potion"}',
27 : '',
28 : '',
29 : '',
30 : '',
31 : '',
32 : '{components:{"minecraft:potion_contents":{potion:"minecraft:water"}},count:1,id:"minecraft:potion"}',
33 : '{components:{"minecraft:potion_contents":{potion:"minecraft:strong_healing"}},count:1,id:"minecraft:lingering_potion"}',
34 : '{components:{"minecraft:potion_contents":{potion:"minecraft:strong_healing"}},count:1,id:"minecraft:splash_potion"}',
35 : '{components:{"minecraft:bundle_contents":[{count:1,id:"minecraft:creeper_spawn_egg"},{count:1,id:"ore_creeper:coal_creeper_spawn_egg"},{count:1,id:"ore_creeper:copper_creeper_spawn_egg"},{count:1,id:"ore_creeper:diamond_creeper_spawn_egg"},{count:1,id:"ore_creeper:emerald_creeper_spawn_egg"},{count:1,id:"ore_creeper:gold_creeper_spawn_egg"},{count:1,id:"ore_creeper:iron_creeper_spawn_egg"},{count:1,id:"ore_creeper:lapis_lazuli_creeper_spawn_egg"},{count:1,id:"ore_creeper:nether_gold_creeper_spawn_egg"},{count:1,id:"ore_creeper:redstone_creeper_spawn_egg"},{count:1,id:"ore_creeper:nether_quartz_creeper_spawn_egg"},{count:1,id:"ore_creeper:ancient_debris_creeper_spawn_egg"}]},count:1,id:"minecraft:black_bundle"}',
'effects' : '',
